period,country,indicator,breakdown,unit,value,flags
desi_2022,AT,desi_2a1,hh_total,pc_hh,18.103831,""
desi_2022,BE,desi_2a1,hh_total,pc_hh,56.080416,""
desi_2022,BG,desi_2a1,hh_total,pc_hh,22.232078,""
desi_2022,CY,desi_2a1,hh_total,pc_hh,25.590781,""
desi_2022,CZ,desi_2a1,hh_total,pc_hh,26.809253,""
desi_2022,DE,desi_2a1,hh_total,pc_hh,29.369421,""
desi_2022,DK,desi_2a1,hh_total,pc_hh,49.392995,""
desi_2022,EE,desi_2a1,hh_total,pc_hh,20.060233,""
desi_2022,EL,desi_2a1,hh_total,pc_hh,8.534775,""
desi_2022,ES,desi_2a1,hh_total,pc_hh,71.80826,""
desi_2022,FI,desi_2a1,hh_total,pc_hh,28.838637,""
desi_2022,FR,desi_2a1,hh_total,pc_hh,34.925771,""
desi_2022,HR,desi_2a1,hh_total,pc_hh,16.239796,""
desi_2022,HU,desi_2a1,hh_total,pc_hh,61.453427,""
desi_2022,IE,desi_2a1,hh_total,pc_hh,37.462895,""
desi_2022,IT,desi_2a1,hh_total,pc_hh,37.594598,""
desi_2022,LT,desi_2a1,hh_total,pc_hh,35.888649,""
desi_2022,LU,desi_2a1,hh_total,pc_hh,62.753044,""
desi_2022,LV,desi_2a1,hh_total,pc_hh,43.478482,""
desi_2022,MT,desi_2a1,hh_total,pc_hh,52.545093,""
desi_2022,NL,desi_2a1,hh_total,pc_hh,46.699354,""
desi_2022,PL,desi_2a1,hh_total,pc_hh,43.185566,""
desi_2022,PT,desi_2a1,hh_total,pc_hh,67.877739,""
desi_2022,RO,desi_2a1,hh_total,pc_hh,56.575067,""
desi_2022,SE,desi_2a1,hh_total,pc_hh,70.790856,""
desi_2022,SI,desi_2a1,hh_total,pc_hh,35.830758,""
desi_2022,SK,desi_2a1,hh_total,pc_hh,26.399818,""
desi_2022,EU,desi_2a1,hh_total,pc_hh,40.605869,""
desi_2021,AT,desi_2a1,hh_total,pc_hh,11.729919,""
desi_2021,BE,desi_2a1,hh_total,pc_hh,54.496875,""
desi_2021,BG,desi_2a1,hh_total,pc_hh,15.188697,""
desi_2021,CY,desi_2a1,hh_total,pc_hh,3.389819,""
desi_2021,CZ,desi_2a1,hh_total,pc_hh,24.17929,""
desi_2021,DE,desi_2a1,hh_total,pc_hh,27.574414,""
desi_2021,DK,desi_2a1,hh_total,pc_hh,42.704705,""
desi_2021,EE,desi_2a1,hh_total,pc_hh,19.049795,""
desi_2021,EL,desi_2a1,hh_total,pc_hh,2.725387,""
desi_2021,ES,desi_2a1,hh_total,pc_hh,65.448644,""
desi_2021,FI,desi_2a1,hh_total,pc_hh,26.103266,""
desi_2021,HR,desi_2a1,hh_total,pc_hh,8.716669,""
desi_2021,HU,desi_2a1,hh_total,pc_hh,55.897312,""
desi_2021,IE,desi_2a1,hh_total,pc_hh,30.998532,""
desi_2021,IT,desi_2a1,hh_total,pc_hh,28.456845,""
desi_2021,LT,desi_2a1,hh_total,pc_hh,31.089458,""
desi_2021,LU,desi_2a1,hh_total,pc_hh,52.631948,""
desi_2021,LV,desi_2a1,hh_total,pc_hh,38.281248,""
desi_2021,MT,desi_2a1,hh_total,pc_hh,42.526581,""
desi_2021,NL,desi_2a1,hh_total,pc_hh,40.772301,""
desi_2021,PL,desi_2a1,hh_total,pc_hh,36.730574,""
desi_2021,PT,desi_2a1,hh_total,pc_hh,62.779894,""
desi_2021,RO,desi_2a1,hh_total,pc_hh,51.464128,""
desi_2021,SE,desi_2a1,hh_total,pc_hh,67.275001,""
desi_2021,SI,desi_2a1,hh_total,pc_hh,29.281725,""
desi_2021,SK,desi_2a1,hh_total,pc_hh,25.370881,""
desi_2021,EU,desi_2a1,hh_total,pc_hh,33.423702,""
desi_2020,AT,desi_2a1,hh_total,pc_hh,8.076913,""
desi_2020,BE,desi_2a1,hh_total,pc_hh,45.01233,""
desi_2020,BG,desi_2a1,hh_total,pc_hh,10.989091,""
desi_2020,CY,desi_2a1,hh_total,pc_hh,2.364539,""
desi_2020,CZ,desi_2a1,hh_total,pc_hh,20.49199,""
desi_2020,DE,desi_2a1,hh_total,pc_hh,20.584187,""
desi_2020,DK,desi_2a1,hh_total,pc_hh,34.190298,""
desi_2020,EE,desi_2a1,hh_total,pc_hh,14.075321,""
desi_2020,EL,desi_2a1,hh_total,pc_hh,0.843049,""
desi_2020,ES,desi_2a1,hh_total,pc_hh,52.874037,""
desi_2020,FI,desi_2a1,hh_total,pc_hh,23.070761,""
desi_2020,FR,desi_2a1,hh_total,pc_hh,17.367266,""
desi_2020,HR,desi_2a1,hh_total,pc_hh,6.205586,""
desi_2020,HU,desi_2a1,hh_total,pc_hh,50.895574,""
