period,country,indicator,breakdown,unit,value,flags
desi_2022,AT,desi_1a3,ind_total,pc_ind,33.28,""
desi_2022,BE,desi_1a3,ind_total,pc_ind,26.34,""
desi_2022,BG,desi_1a3,ind_total,pc_ind,7.82,""
desi_2022,CY,desi_1a3,ind_total,pc_ind,20.95,""
desi_2022,CZ,desi_1a3,ind_total,pc_ind,24.06,""
desi_2022,DE,desi_1a3,ind_total,pc_ind,18.84,""
desi_2022,DK,desi_1a3,ind_total,pc_ind,37.37,""
desi_2022,EE,desi_1a3,ind_total,pc_ind,27.68,""
desi_2022,EL,desi_1a3,ind_total,pc_ind,21.7,""
desi_2022,ES,desi_1a3,ind_total,pc_ind,38.06,""
desi_2022,FI,desi_1a3,ind_total,pc_ind,48.13,""
desi_2022,FR,desi_1a3,ind_total,pc_ind,31.25,""
desi_2022,HR,desi_1a3,ind_total,pc_ind,31.18,""
desi_2022,HU,desi_1a3,ind_total,pc_ind,21.54,""
desi_2022,IE,desi_1a3,ind_total,pc_ind,39.69,""
desi_2022,IT,desi_1a3,ind_total,pc_ind,22.52,""
desi_2022,LT,desi_1a3,ind_total,pc_ind,23.01,""
desi_2022,LU,desi_1a3,ind_total,pc_ind,31.81,""
desi_2022,LV,desi_1a3,ind_total,pc_ind,23.79,""
desi_2022,MT,desi_1a3,ind_total,pc_ind,35.49,""
desi_2022,NL,desi_1a3,ind_total,pc_ind,51.77,""
desi_2022,PL,desi_1a3,ind_total,pc_ind,20.64,""
desi_2022,PT,desi_1a3,ind_total,pc_ind,28.54,""
desi_2022,RO,desi_1a3,ind_total,pc_ind,8.73,""
desi_2022,SE,desi_1a3,ind_total,pc_ind,35.68,""
desi_2022,SI,desi_1a3,ind_total,pc_ind,19.72,""
desi_2022,SK,desi_1a3,ind_total,pc_ind,20.83,""
desi_2022,EU,desi_1a3,ind_total,pc_ind,26.46,""
desi_2023,AT,desi_1a3,ind_total,pc_ind,33.28,""
desi_2023,BE,desi_1a3,ind_total,pc_ind,26.34,""
desi_2023,BG,desi_1a3,ind_total,pc_ind,7.82,""
desi_2023,CY,desi_1a3,ind_total,pc_ind,20.95,""
desi_2023,CZ,desi_1a3,ind_total,pc_ind,24.06,""
desi_2023,DE,desi_1a3,ind_total,pc_ind,18.84,""
desi_2023,DK,desi_1a3,ind_total,pc_ind,37.37,""
desi_2023,EE,desi_1a3,ind_total,pc_ind,27.68,""
desi_2023,EL,desi_1a3,ind_total,pc_ind,21.7,""
desi_2023,ES,desi_1a3,ind_total,pc_ind,38.06,""
desi_2023,FI,desi_1a3,ind_total,pc_ind,48.13,""
desi_2023,FR,desi_1a3,ind_total,pc_ind,31.25,""
desi_2023,HR,desi_1a3,ind_total,pc_ind,31.18,""
desi_2023,HU,desi_1a3,ind_total,pc_ind,21.54,""
desi_2023,IE,desi_1a3,ind_total,pc_ind,39.69,""
desi_2023,IT,desi_1a3,ind_total,pc_ind,22.52,""
desi_2023,LT,desi_1a3,ind_total,pc_ind,23.01,""
desi_2023,LU,desi_1a3,ind_total,pc_ind,31.81,""
desi_2023,LV,desi_1a3,ind_total,pc_ind,23.79,""
desi_2023,MT,desi_1a3,ind_total,pc_ind,35.49,""
desi_2023,NL,desi_1a3,ind_total,pc_ind,51.77,""
desi_2023,PL,desi_1a3,ind_total,pc_ind,20.64,""
desi_2023,PT,desi_1a3,ind_total,pc_ind,28.54,""
desi_2023,RO,desi_1a3,ind_total,pc_ind,8.73,""
desi_2023,SE,desi_1a3,ind_total,pc_ind,35.68,""
desi_2023,SI,desi_1a3,ind_total,pc_ind,19.72,""
desi_2023,SK,desi_1a3,ind_total,pc_ind,20.83,""
desi_2023,EU,desi_1a3,ind_total,pc_ind,26.46,""
