period,country,indicator,breakdown,unit,value,flags
2022,AT,desi_fbbtc,hh_total,pc_hh_all,78.2021,""
2022,BE,desi_fbbtc,hh_total,pc_hh_all,83.7782,""
2022,BG,desi_fbbtc,hh_total,pc_hh_all,62.7494,""
2022,CY,desi_fbbtc,hh_total,pc_hh_all,91.7507,""
2022,CZ,desi_fbbtc,hh_total,pc_hh_all,84.0578,""
2022,DE,desi_fbbtc,hh_total,pc_hh_all,81.8424,""
2022,DK,desi_fbbtc,hh_total,pc_hh_all,84.1855,""
2022,EE,desi_fbbtc,hh_total,pc_hh_all,83.2461,""
2022,EL,desi_fbbtc,hh_total,pc_hh_all,81.5293,""
2022,ES,desi_fbbtc,hh_total,pc_hh_all,82.9171,""
2022,FI,desi_fbbtc,hh_total,pc_hh_all,60.8779,""
2022,FR,desi_fbbtc,hh_total,pc_hh_all,79.5479,""
2022,HR,desi_fbbtc,hh_total,pc_hh_all,74.6531,""
2022,HU,desi_fbbtc,hh_total,pc_hh_all,83.3071,""
2022,IE,desi_fbbtc,hh_total,pc_hh_all,80.464,""
2022,IT,desi_fbbtc,hh_total,pc_hh_all,65.67920000000001,""
2022,LT,desi_fbbtc,hh_total,pc_hh_all,66.9632,""
2022,LU,desi_fbbtc,hh_total,pc_hh_all,90.7701,""
2022,LV,desi_fbbtc,hh_total,pc_hh_all,65.4993,""
2022,MT,desi_fbbtc,hh_total,pc_hh_all,88.0434,""
2022,NL,desi_fbbtc,hh_total,pc_hh_all,96.97240000000001,""
2022,PL,desi_fbbtc,hh_total,pc_hh_all,68.8091,""
2022,PT,desi_fbbtc,hh_total,pc_hh_all,81.4932,""
2022,RO,desi_fbbtc,hh_total,pc_hh_all,65.9743,""
2022,SE,desi_fbbtc,hh_total,pc_hh_all,82.4153,""
2022,SI,desi_fbbtc,hh_total,pc_hh_all,77.009,""
2022,SK,desi_fbbtc,hh_total,pc_hh_all,81.3519,""
2022,EU,desi_fbbtc,hh_total,pc_hh_all,77.8338,""
2021,AT,desi_fbbtc,hh_total,pc_hh_all,73.4098,""
2021,BE,desi_fbbtc,hh_total,pc_hh_all,84.5205,""
2021,BG,desi_fbbtc,hh_total,pc_hh_all,59.4236,""
2021,CY,desi_fbbtc,hh_total,pc_hh_all,91.9385,""
2021,CZ,desi_fbbtc,hh_total,pc_hh_all,82.8194,""
2021,DE,desi_fbbtc,hh_total,pc_hh_all,91.6905,""
2021,DK,desi_fbbtc,hh_total,pc_hh_all,84.7916,""
2021,EE,desi_fbbtc,hh_total,pc_hh_all,82.65390000000001,""
2021,EL,desi_fbbtc,hh_total,pc_hh_all,77.38730000000001,""
2021,ES,desi_fbbtc,hh_total,pc_hh_all,82.0773,""
2021,FI,desi_fbbtc,hh_total,pc_hh_all,57.1227,""
2021,HR,desi_fbbtc,hh_total,pc_hh_all,73.0456,""
2021,HU,desi_fbbtc,hh_total,pc_hh_all,81.3152,""
2021,IE,desi_fbbtc,hh_total,pc_hh_all,78.4413,""
2021,IT,desi_fbbtc,hh_total,pc_hh_all,60.829100000000004,""
2021,LT,desi_fbbtc,hh_total,pc_hh_all,64.601,""
2021,LU,desi_fbbtc,hh_total,pc_hh_all,88.38510000000001,""
2021,LV,desi_fbbtc,hh_total,pc_hh_all,61.8151,""
2021,MT,desi_fbbtc,hh_total,pc_hh_all,86.2608,""
2021,NL,desi_fbbtc,hh_total,pc_hh_all,89.9365,""
2021,PL,desi_fbbtc,hh_total,pc_hh_all,67.7311,""
2021,PT,desi_fbbtc,hh_total,pc_hh_all,79.0236,""
2021,RO,desi_fbbtc,hh_total,pc_hh_all,66.9811,""
2021,SE,desi_fbbtc,hh_total,pc_hh_all,83.79729999999999,""
2021,SI,desi_fbbtc,hh_total,pc_hh_all,79.7589,""
2021,SK,desi_fbbtc,hh_total,pc_hh_all,77.6631,""
2021,EU,desi_fbbtc,hh_total,pc_hh_all,76.9792,""
2020,AT,desi_fbbtc,hh_total,pc_hh_all,71.6183,""
2020,BE,desi_fbbtc,hh_total,pc_hh_all,79.4783,""
2020,BG,desi_fbbtc,hh_total,pc_hh_all,57.767500000000005,""
2020,CY,desi_fbbtc,hh_total,pc_hh_all,87.1082,""
2020,CZ,desi_fbbtc,hh_total,pc_hh_all,74.081,""
2020,DE,desi_fbbtc,hh_total,pc_hh_all,88.2706,""
2020,DK,desi_fbbtc,hh_total,pc_hh_all,84.7064,""
2020,EE,desi_fbbtc,hh_total,pc_hh_all,82.6079,""
2020,EL,desi_fbbtc,hh_total,pc_hh_all,75.86739999999999,""
2020,ES,desi_fbbtc,hh_total,pc_hh_all,77.91470000000001,""
2020,FI,desi_fbbtc,hh_total,pc_hh_all,56.854099999999995,""
2020,FR,desi_fbbtc,hh_total,pc_hh_all,70.5353,""
2020,HR,desi_fbbtc,hh_total,pc_hh_all,70.3541,""
2020,HU,desi_fbbtc,hh_total,pc_hh_all,81.8229,""
2020,IE,desi_fbbtc,hh_total,pc_hh_all,76.165,""
2020,IT,desi_fbbtc,hh_total,pc_hh_all,60.8507,""
2020,LT,desi_fbbtc,hh_total,pc_hh_all,67.95649999999999,""
2020,LU,desi_fbbtc,hh_total,pc_hh_all,90.74889999999999,""
2020,LV,desi_fbbtc,hh_total,pc_hh_all,63.517999999999994,""
2020,MT,desi_fbbtc,hh_total,pc_hh_all,83.8503,""
2020,NL,desi_fbbtc,hh_total,pc_hh_all,97.8835,""
2020,PL,desi_fbbtc,hh_total,pc_hh_all,62.34309999999999,""
2020,PT,desi_fbbtc,hh_total,pc_hh_all,74.5775,""
2020,RO,desi_fbbtc,hh_total,pc_hh_all,65.6714,""
2020,SE,desi_fbbtc,hh_total,pc_hh_all,86.2327,""
2020,SI,desi_fbbtc,hh_total,pc_hh_all,83.44890000000001,""
2020,SK,desi_fbbtc,hh_total,pc_hh_all,71.7281,""
2020,EU,desi_fbbtc,hh_total,pc_hh_all,75.2367,""
2019,AT,desi_fbbtc,hh_total,pc_hh_all,69.3214,""
2019,BG,desi_fbbtc,hh_total,pc_hh_all,57.948,""
2019,CY,desi_fbbtc,hh_total,pc_hh_all,84.5105,""
2019,CZ,desi_fbbtc,hh_total,pc_hh_all,74.1842,""
2019,DE,desi_fbbtc,hh_total,pc_hh_all,87.2193,""
2019,DK,desi_fbbtc,hh_total,pc_hh_all,81.8523,""
2019,EE,desi_fbbtc,hh_total,pc_hh_all,80.6704,""
2019,EL,desi_fbbtc,hh_total,pc_hh_all,74.15650000000001,""
2019,ES,desi_fbbtc,hh_total,pc_hh_all,77.26849999999999,""
