period,country,indicator,breakdown,unit,value,flags
2015,AT,i_dsk_ab,ind_total,pc_ind,32.79,
2015,BE,i_dsk_ab,ind_total,pc_ind,31.13,
2015,BG,i_dsk_ab,ind_total,pc_ind,12.75,
2015,CY,i_dsk_ab,ind_total,pc_ind,15.36,
2015,CZ,i_dsk_ab,ind_total,pc_ind,22.93,
2015,DE,i_dsk_ab,ind_total,pc_ind,35.3,
2015,DK,i_dsk_ab,ind_total,pc_ind,48.46,
2015,EE,i_dsk_ab,ind_total,pc_ind,37.44,
2015,EL,i_dsk_ab,ind_total,pc_ind,16.11,
2015,ES,i_dsk_ab,ind_total,pc_ind,30.02,
2015,EU,i_dsk_ab,ind_total,pc_ind,26.69,
2015,FI,i_dsk_ab,ind_total,pc_ind,40.94,
2015,FR,i_dsk_ab,ind_total,pc_ind,26.85,
2015,HR,i_dsk_ab,ind_total,pc_ind,30.28,
2015,HU,i_dsk_ab,ind_total,pc_ind,22.42,
2015,IE,i_dsk_ab,ind_total,pc_ind,25.01,
2015,IT,i_dsk_ab,ind_total,pc_ind,19.32,
2015,LT,i_dsk_ab,ind_total,pc_ind,30.29,
2015,LU,i_dsk_ab,ind_total,pc_ind,55.89,
2015,LV,i_dsk_ab,ind_total,pc_ind,25.54,
2015,MT,i_dsk_ab,ind_total,pc_ind,34.54,
2015,NL,i_dsk_ab,ind_total,pc_ind,42.52,
2015,PL,i_dsk_ab,ind_total,pc_ind,15.07,
2015,PT,i_dsk_ab,ind_total,pc_ind,27.88,
2015,RO,i_dsk_ab,ind_total,pc_ind,8.97,
2015,SE,i_dsk_ab,ind_total,pc_ind,35.24,
2015,SI,i_dsk_ab,ind_total,pc_ind,25.62,
2015,SK,i_dsk_ab,ind_total,pc_ind,26.07,
2016,AT,i_dsk_ab,ind_total,pc_ind,34.59,
2016,BE,i_dsk_ab,ind_total,pc_ind,31.53,
2016,BG,i_dsk_ab,ind_total,pc_ind,10.07,
2016,CY,i_dsk_ab,ind_total,pc_ind,20.44,
2016,CZ,i_dsk_ab,ind_total,pc_ind,20.42,
2016,DE,i_dsk_ab,ind_total,pc_ind,33.48,
2016,DK,i_dsk_ab,ind_total,pc_ind,52.98,
2016,EE,i_dsk_ab,ind_total,pc_ind,34.74,
2016,EL,i_dsk_ab,ind_total,pc_ind,19.36,
2016,ES,i_dsk_ab,ind_total,pc_ind,30.72,
2016,EU,i_dsk_ab,ind_total,pc_ind,27.32,
2016,FI,i_dsk_ab,ind_total,pc_ind,43.74,
2016,FR,i_dsk_ab,ind_total,pc_ind,27.57,
2016,HR,i_dsk_ab,ind_total,pc_ind,33.28,
2016,HU,i_dsk_ab,ind_total,pc_ind,23.82,
2016,IE,i_dsk_ab,ind_total,pc_ind,24.8,
2016,IT,i_dsk_ab,ind_total,pc_ind,19.48,
2016,LT,i_dsk_ab,ind_total,pc_ind,29.15,
2016,LU,i_dsk_ab,ind_total,pc_ind,54.15,
2016,LV,i_dsk_ab,ind_total,pc_ind,26.63,b
2016,MT,i_dsk_ab,ind_total,pc_ind,31.95,
2016,NL,i_dsk_ab,ind_total,pc_ind,44.87,
2016,PL,i_dsk_ab,ind_total,pc_ind,19.4,
2016,PT,i_dsk_ab,ind_total,pc_ind,28.34,
2016,RO,i_dsk_ab,ind_total,pc_ind,8.59,
2016,SE,i_dsk_ab,ind_total,pc_ind,38.8,b
2016,SI,i_dsk_ab,ind_total,pc_ind,27.78,
2016,SK,i_dsk_ab,ind_total,pc_ind,29.12,
2017,AT,i_dsk_ab,ind_total,pc_ind,36.22,
2017,BE,i_dsk_ab,ind_total,pc_ind,30.99,
2017,BG,i_dsk_ab,ind_total,pc_ind,11.05,
2017,CY,i_dsk_ab,ind_total,pc_ind,18.71,
2017,CZ,i_dsk_ab,ind_total,pc_ind,24.06,
2017,DE,i_dsk_ab,ind_total,pc_ind,36.71,
2017,DK,i_dsk_ab,ind_total,pc_ind,47.22,
2017,EE,i_dsk_ab,ind_total,pc_ind,34.84,
2017,EL,i_dsk_ab,ind_total,pc_ind,21.66,
2017,ES,i_dsk_ab,ind_total,pc_ind,31.61,
2017,EU,i_dsk_ab,ind_total,pc_ind,29.04,
2017,FI,i_dsk_ab,ind_total,pc_ind,45.23,
2017,FR,i_dsk_ab,ind_total,pc_ind,29.24,
2017,HR,i_dsk_ab,ind_total,pc_ind,20.61,
2017,HU,i_dsk_ab,ind_total,pc_ind,25.75,
2017,IE,i_dsk_ab,ind_total,pc_ind,27.74,
2017,IT,i_dsk_ab,ind_total,pc_ind,,u
2017,LT,i_dsk_ab,ind_total,pc_ind,31.94,
2017,LU,i_dsk_ab,ind_total,pc_ind,55.25,
2017,LV,i_dsk_ab,ind_total,pc_ind,26.8,
2017,MT,i_dsk_ab,ind_total,pc_ind,38.7,
2017,NL,i_dsk_ab,ind_total,pc_ind,47.85,
2017,PL,i_dsk_ab,ind_total,pc_ind,21.13,
2017,PT,i_dsk_ab,ind_total,pc_ind,30.75,
2017,RO,i_dsk_ab,ind_total,pc_ind,10.15,
2017,SE,i_dsk_ab,ind_total,pc_ind,46.38,
2017,SI,i_dsk_ab,ind_total,pc_ind,29.69,
2017,SK,i_dsk_ab,ind_total,pc_ind,33.07,
2019,AT,i_dsk_ab,ind_total,pc_ind,39.22,
2019,BE,i_dsk_ab,ind_total,pc_ind,34.18,
2019,BG,i_dsk_ab,ind_total,pc_ind,11.29,
2019,CY,i_dsk_ab,ind_total,pc_ind,25.23,
2019,CZ,i_dsk_ab,ind_total,pc_ind,25.79,b
2019,DE,i_dsk_ab,ind_total,pc_ind,38.84,
2019,DK,i_dsk_ab,ind_total,pc_ind,48.53,
2019,EE,i_dsk_ab,ind_total,pc_ind,37.03,
2019,EL,i_dsk_ab,ind_total,pc_ind,23.32,
2019,ES,i_dsk_ab,ind_total,pc_ind,36.09,
2019,EU,i_dsk_ab,ind_total,pc_ind,31.05,
2019,FI,i_dsk_ab,ind_total,pc_ind,50.07,
2019,FR,i_dsk_ab,ind_total,pc_ind,30.92,
2019,HR,i_dsk_ab,ind_total,pc_ind,35.34,
2019,HU,i_dsk_ab,ind_total,pc_ind,25.36,
2019,IE,i_dsk_ab,ind_total,pc_ind,34.14,
2019,IT,i_dsk_ab,ind_total,pc_ind,22.02,b
2019,LT,i_dsk_ab,ind_total,pc_ind,32.3,
2019,LU,i_dsk_ab,ind_total,pc_ind,35.76,b
2019,LV,i_dsk_ab,ind_total,pc_ind,24.45,b
2019,MT,i_dsk_ab,ind_total,pc_ind,38.25,
2019,NL,i_dsk_ab,ind_total,pc_ind,49.56,
2019,PL,i_dsk_ab,ind_total,pc_ind,21.29,
2019,PT,i_dsk_ab,ind_total,pc_ind,32.1,
2019,RO,i_dsk_ab,ind_total,pc_ind,10.33,
2019,SE,i_dsk_ab,ind_total,pc_ind,46.04,u
2019,SI,i_dsk_ab,ind_total,pc_ind,31.07,
2019,SK,i_dsk_ab,ind_total,pc_ind,27.07,
