period,country,indicator,breakdown,unit,value,flags
2015,AT,i_dsk_bab,ind_total,pc_ind,64,
2015,BE,i_dsk_bab,ind_total,pc_ind,60.29,
2015,BG,i_dsk_bab,ind_total,pc_ind,31.22,
2015,CY,i_dsk_bab,ind_total,pc_ind,42.55,
2015,CZ,i_dsk_bab,ind_total,pc_ind,56.89,
2015,DE,i_dsk_bab,ind_total,pc_ind,66.71,
2015,DK,i_dsk_bab,ind_total,pc_ind,74.91,
2015,EE,i_dsk_bab,ind_total,pc_ind,64.51,
2015,EL,i_dsk_bab,ind_total,pc_ind,44.01,
2015,ES,i_dsk_bab,ind_total,pc_ind,53.9,
2015,EU,i_dsk_bab,ind_total,pc_ind,53.74,
2015,FI,i_dsk_bab,ind_total,pc_ind,73.97,
2015,FR,i_dsk_bab,ind_total,pc_ind,56.78,
2015,HR,i_dsk_bab,ind_total,pc_ind,50.91,
2015,HU,i_dsk_bab,ind_total,pc_ind,49.52,
2015,IE,i_dsk_bab,ind_total,pc_ind,44.38,
2015,IT,i_dsk_bab,ind_total,pc_ind,43.3,
2015,LT,i_dsk_bab,ind_total,pc_ind,51.24,
2015,LU,i_dsk_bab,ind_total,pc_ind,86.21,
2015,LV,i_dsk_bab,ind_total,pc_ind,49.2,
2015,MT,i_dsk_bab,ind_total,pc_ind,52.68,
2015,NL,i_dsk_bab,ind_total,pc_ind,72.43,
2015,PL,i_dsk_bab,ind_total,pc_ind,40.04,
2015,PT,i_dsk_bab,ind_total,pc_ind,47.63,
2015,RO,i_dsk_bab,ind_total,pc_ind,26.28,
2015,SE,i_dsk_bab,ind_total,pc_ind,71.58,
2015,SI,i_dsk_bab,ind_total,pc_ind,50.9,
2015,SK,i_dsk_bab,ind_total,pc_ind,53.15,
2016,AT,i_dsk_bab,ind_total,pc_ind,65.46,
2016,BE,i_dsk_bab,ind_total,pc_ind,60.9,
2016,BG,i_dsk_bab,ind_total,pc_ind,26.25,
2016,CY,i_dsk_bab,ind_total,pc_ind,42.92,
2016,CZ,i_dsk_bab,ind_total,pc_ind,53.8,
2016,DE,i_dsk_bab,ind_total,pc_ind,67.54,
2016,DK,i_dsk_bab,ind_total,pc_ind,77.57,
2016,EE,i_dsk_bab,ind_total,pc_ind,60.32,
2016,EL,i_dsk_bab,ind_total,pc_ind,45.85,
2016,ES,i_dsk_bab,ind_total,pc_ind,53.35,
