,period,country,At least basic digital skills,Above basic digital skills,Broadband coverage,Broadband take-up,country_name,ISO,Date,StringencyIndex_Average
0,2015,MT,52.68,34.54,,,Malta,MLT,,
1,2015,SE,71.58,35.24,,,Sweden,SWE,,
2,2015,RO,26.28,8.97,,,Romania,ROU,,
3,2015,PT,47.63,27.88,,,Portugal,PRT,,
4,2015,PL,40.04,15.07,,,Poland,POL,,
5,2015,NL,72.43,42.52,,,Netherlands,NLD,,
6,2015,LV,49.2,25.54,,,Latvia,LVA,,
7,2015,LU,86.21,55.89,,,Luxembourg,LUX,,
8,2015,LT,51.24,30.29,,,Lithuania,LTU,,
9,2015,IT,43.3,19.32,,,Italy,ITA,,
10,2015,IE,44.38,25.01,,,Ireland,IRL,,
11,2015,HU,49.52,22.42,,,Hungary,HUN,,
12,2015,HR,50.91,30.28,,,Croatia,HRV,,
13,2015,SK,53.15,26.07,,,Slovakia,SVK,,
14,2015,FR,56.78,26.85,,,France,FRA,,
15,2015,EU,53.74,26.69,,,European Union,EU,,
16,2015,ES,53.9,30.02,,,Spain,ESP,,
17,2015,EL,44.01,16.11,,,Greece,GRC,,
18,2015,EE,64.51,37.44,,,Estonia,EST,,
19,2015,DK,74.91,48.46,,,Denmark,DNK,,
20,2015,DE,66.71,35.3,,,Germany,DEU,,
21,2015,CZ,56.89,22.93,,,Czechia,CZE,,
22,2015,CY,42.55,15.36,,,Cyprus,CYP,,
23,2015,BG,31.22,12.75,,,Bulgaria,BGR,,
24,2015,BE,60.29,31.13,,,Belgium,BEL,,
25,2015,AT,64.0,32.79,,,Austria,AUT,,
26,2015,FI,73.97,40.94,,,Finland,FIN,,
27,2015,SI,50.9,25.62,,,Slovenia,SVN,,
28,2016,SI,52.91,27.78,,,Slovenia,SVN,,
29,2016,SK,55.26,29.12,,,Slovakia,SVK,,
30,2016,BE,60.9,31.53,,,Belgium,BEL,,
31,2016,SE,68.64,38.8,,,Sweden,SWE,,
32,2016,RO,27.65,8.59,,,Romania,ROU,,
33,2016,PT,47.65,28.34,,,Portugal,PRT,,
34,2016,PL,44.42,19.4,,,Poland,POL,,
35,2016,NL,76.51,44.87,,,Netherlands,NLD,,
36,2016,MT,49.61,31.95,,,Malta,MLT,,
37,2016,AT,65.46,34.59,,,Austria,AUT,,
38,2016,LU,86.15,54.15,,,Luxembourg,LUX,,
39,2016,LT,51.59,29.15,,,Lithuania,LTU,,
40,2016,IT,43.65,19.48,,,Italy,ITA,,
41,2016,IE,44.19,24.8,,,Ireland,IRL,,
42,2016,HU,51.36,23.82,,,Hungary,HUN,,
43,2016,LV,50.36,26.63,,,Latvia,LVA,,
44,2016,FR,55.65,27.57,,,France,FRA,,
45,2016,FI,73.05,43.74,,,Finland,FIN,,
46,2016,EU,54.34,27.32,,,European Union,EU,,
47,2016,ES,53.35,30.72,,,Spain,ESP,,
48,2016,EL,45.85,19.36,,,Greece,GRC,,
49,2016,EE,60.32,34.74,,,Estonia,EST,,
50,2016,DK,77.57,52.98,,,Denmark,DNK,,
51,2016,DE,67.54,33.48,,,Germany,DEU,,
52,2016,CZ,53.8,20.42,,,Czechia,CZE,,
53,2016,CY,42.92,20.44,,,Cyprus,CYP,,
54,2016,BG,26.25,10.07,,,Bulgaria,BGR,,
55,2016,HR,54.61,33.28,,,Croatia,HRV,,
56,2017,EL,46.16,21.66,48.47437387600984,66.486,Greece,GRC,,
57,2017,FI,75.55,45.23,73.47011081018225,61.1154,Finland,FIN,,
58,2017,EE,60.31,34.84,79.10770345879182,77.1428,Estonia,EST,,
59,2017,ES,54.77,31.61,80.84103416925375,71.2211,Spain,ESP,,
60,2017,DK,71.19,47.22,93.26,83.4565,Denmark,DNK,,
61,2017,AT,67.45,36.22,68.66404049698748,68.0231,Austria,AUT,,
62,2017,CZ,59.85,24.06,75.08253039221306,70.6088,Czechia,CZE,,
63,2017,CY,50.38,18.71,87.5,72.15350000000001,Cyprus,CYP,,
64,2017,BG,29.49,11.05,74.11622817287541,56.7172,Bulgaria,BGR,,
65,2017,BE,60.56,30.99,98.44195957256416,80.12310000000001,Belgium,BEL,,
66,2017,FR,57.13,29.24,47.01287881628533,72.4654,France,FRA,,
