,ISO,period,country_x,Cost of service is too high,Cost of the equipment is too high,Cultural reasons,Do not need the Internet,Have access to the Internet elsewhere,Internet service is available but it does not correspond to household needs,Internet service is not available in the area,No electricity in the household,Other reason,Privacy or security concerns,Individuals using the Internet (% of population),2G Wireless Access
0,ALB,2013,,,,,,,,,,,,,
1,ALB,2014,,,,,,,,,,,,,
2,ALB,2015,,,,,,,,,,,,,
3,ALB,2016,,,,,,,,,,,,,
4,ALB,2017,,,,,,,,,,,,,
5,ALB,2018,,,,,,,,,,,,,
6,ALB,2019,Albania,23.7877,25.0903,,23.2922,3.10713,,3.42097,,64.9737,1.02433,68.55039112,99.86
7,ALB,2020,Albania,21.8349,23.7921,,24.7653,2.15445,,4.08444,,0.414735,1.02433,72.23767711,99.86
8,ALB,2021,Albania,25.3933,25.2258,,23.2022,5.21645,,5.81553,,1.66301,0.306197,79.32371752,99.86
9,ALB,2022,Albania,46.9932,43.6586,,32.9005,2.62873,,6.77953,,17.572,6.77953,82.61368583,100.0
10,ARE,2013,,,,,,,,,,,,,
11,ARE,2014,,,,,,,,,,,,,
12,ARE,2015,,,,,,,,,,,,,
13,ARE,2016,United Arab Emirates,334.185,239.885,16.5435,797.41,708.073,41.3587,47.9777,,62.8668,71.1385,90.60000732,100.0
14,ARE,2017,United Arab Emirates,334.185,239.885,16.5435,797.41,708.073,41.3587,47.9777,,62.8668,71.1385,90.60000732,100.0
15,ARE,2018,United Arab Emirates,76.2,81.0,38.1,4.8,19.0,41.3587,47.9777,,4.2,47.6,98.45000178,100.0
16,ARE,2019,United Arab Emirates,75.438,80.19,37.719,4.752,18.81,41.3587,47.9777,,4.158,47.124,99.14999796,100.0
17,ARE,2020,United Arab Emirates,18.9972,9.49859,37.719,33.295,71.3894,41.3587,47.9777,,9.49859,4.79929,100.0,100.0
18,ARE,2021,United Arab Emirates,18.8099,9.40497,37.719,29.9699,74.9698,41.3587,47.9777,,9.40497,4.75199,100.0,100.0
