country,number
United States,153
United Kingdom,67
Australia,32
Germany,24
Netherlands,23
Canada,22
Mainland China,21
Italy,16
Switzerland,16
Taiwan,11
China,11
Belgium,8
France,8
Ireland,8
Malaysia,8
Denmark,7
Korea,7
Sweden,7
Finland,6
India,6
Singapore,6
Indonesia,5
Norway,5
Portugal,5
"Hong Kong, China",4
Turkey,4
New Zealand,3
Romania,3
Saudi Arabia,3
Spain,3
Thailand,3
Ethiopia,2
Greece,2
Israel,2
Kenya,2
Nigeria,2
Pakistan,2
United Arab Emirates,2
Cambodia,1
Chile,1
Colombia,1
Cyprus,1
Ghana,1
Guatemala,1
Mexico,1
Oman,1
Republic of Georgia,1
South Africa,1
Sri Lanka,1
Sudan,1
Uganda,1
Vietnam,1
